"weekend","total","selskab"
10.213,71.62818,"Universal"
10.697,134.50692,"Universal"
10.735,187.168425,"Fox"
10.847,122.52306,"Paramount"
11.35,101.802906,"Warner Bros"
11.689,112.200072,"Warner Bros"
11.89,133.668525,"Sony"
12.285,159.582188,"Fox"
12.765,83.586447,"FilmDistrict"
13.145,64.473115,"Universal"
13.437,137.400141,"Warner Bros"
13.536,132.556852,"Fox"
14.109,144.840419,"Warner Bros"
1.435,7.385015,"Relativity"
14.603,261.208962,"Warner Bros"
14.751,70.525195,"Universal"
1.512,8.008161,"Open Road Films"
17.959,228.778661,"Paramount"
18.412,202.359711,"Paramount"
18.749,252.326338,"Warner Bros"
1.892,9.489829,"Warner Bros"
20.223,234.911825,"Buena Vista"
20.587,268.492764,"Buena Vista"
20.864,368.061265,"Universal"
2.11,10.501938,"Warner Bros"
2.156,12.050299,"Lionsgate"
2.187,34.691563,"Fox"
22.322,204.509243,"Buena Vista"
2.292,8.888355,"Sony"
2.376,8.840453,"Relativity"
2.406,7.018189,"Fox"
2.443,10.895295,"FilmDistrict"
2.459,29.236293,"Warner Bros"
2.485,11.308901,"Relativity"
2.547,19.316646,"Fox"
2.57,19.452138,"Warner Bros"
2.577,16.973715,"Fox"
25.822,238.67985,"Universal"
2.617,30.131216,"Buena Vista"
2.691,20.158898,"Open Road Films"
27.72,291.045518,"Warner Bros"
2.82,16.13141,"Open Road Films"
2.848,18.007317,"Focus Features"
2.862,15.179302,"CBS"
2.883,21.819348,"Lionsgate"
2.995,31.165421,"Sony"
3.131,17.616641,"FilmDistrict"
3.154,19.701164,"Fox"
3.159,25.68238,"Relativity"
3.31,26.627201,"Open Road Films"
3.429,25.132228,"Lionsgate"
3.54,17.418667,"Weinstein"
3.571,32.172757,"Open Road Films"
3.583,24.477704,"Relativity"
3.684,38.05584,"Universal"
37.971,420.021917,"Lionsgate"
4.05,21.569509,"Fox"
40.946,409.013994,"Buena Vista"
4.161,32.015787,"Weinstein"
4.231,55.43549,"Relativity"
4.369,56.34268,"Fox"
4.45,33.618855,"Universal"
4.527,28.795985,"Universal"
4.538,71.017784,"Sony"
4.676,68.558662,"Fox"
5.046,63.749942,"CBS"
5.097,44.672764,"Fox"
5.1,35.266619,"Sony"
5.244,42.930462,"Lionsgate"
5.501,46.000903,"Warner Bros"
5.595,83.028128,"Fox"
5.674,26.004851,"Focus Features"
5.834,55.703475,"Paramount"
5.983,90.288712,"Buena Vista"
5.984,53.26256,"Lionsgate"
6.105,42.025135,"Universal"
6.129,49.875291,"Paramount"
6.327,61.002302,"Warner Bros"
6.64,71.34912,"Relativity"
6.764,66.380662,"Lionsgate"
6.782,101.470202,"Sony"
6.828,51.872378,"TriStar"
6.986,67.349198,"Fox"
7.181,98.508822,"Paramount"
7.399,116.597286,"Weinstein"
7.48,123.803339,"Paramount"
7.482,89.302115,"Buena Vista"
7.669,150.394119,"Warner Bros"
7.713,73.103784,"Sony"
7.717,65.187603,"Warner Bros"
7.93,61.737191,"Lionsgate"
8.073,95.020213,"Warner Bros"
8.092,60.522097,"Sony"
8.183,106.244151,"Sony"
8.38,40.041683,"Open Road Films"
8.4,116.632095,"Weinstein"
8.502,118.870505,"Sony"
8.521,54.239856,"TriStar"
8.611,107.518682,"Fox"
8.936,75.61246,"Universal"
9.077,93.050117,"TriStar"
9.523,117.723989,"Lionsgate"
9.583,102.003019,"Paramount"
9.772,89.107235,"Universal"
9.779,98.92564,"FilmDistrict"
